"d34_mid","d34_uime","n8","address","description","latitude","longitude"
20217812,"Gasilni dom Mokronog",604018,"Florijanska cesta 33, 8230 Mokronog","","45.94627939999999","15.1451841"
20217782,"Gasilni dom ",604019,"Beli Grič 19, 8230 Mokronog","","45.94333810000001","15.1247695"
20217839,"Gasilni dom Račje selo",604020,"Račje selo 20 8210 Trebnje","","45.9279476","14.9999572"
20218215,"Gasilni dom Sela pri Šumberku",604021,"Sela pri Šumberku 32, 8360 Žužemberk","","45.8959436","14.8898881"
20218193,"Gasilni dom Log",604022,,"","46.486931","13.806219"
20218088,"PGD Vrhe (bivša šola)",604023," Gorenji Vrh pri Dobrniču 1, 8211 Dobrnič","","45.87780919999999","15.0151725"
20217847,"Kulturni dom Šentlovrenc",604024,,"","45.941139","14.945567"
20218096,"Gasilni dom ",604025," Dolenje Jesenice 17, 8232 Šentrupert","","45.9676554","15.1389111"
20217855,"Kovinoprodaja",604026,"Slovenska vas 5, 8232 Šentrupert","","45.9603651","15.0847555"
20217863,"Kulturni dom Šentrupert I.",604027,"Šentrupert 122, 8232 Šentrupert na Dolenjskem","","45.9777476","15.0955566"
20218100,"Kulturni dom Šentrupert II.",604028,"Šentrupert 122, 8232 Šentrupert na Dolenjskem","","45.9777476","15.0955566"
20218118,"Gostilna Mišič",604029,"Štefan pri Trebnjem 10, 8210 Trebnje","","45.910652","14.9833709"
20217880,"Večnamenski dom Trebelno",604030,,"","45.912078","15.150036"
20217898,"Žagar Štefan",604031,"Češnjice pri Trebelnem 35, 8231 Trebelno","","45.89739000000001","15.139152"
20217995,"Gasilni dom Štatenberk",604032,"Ornuška vas 11, 8231 Trebelno","","45.8860264","15.1334918"
20218126,"Gasilni dom Velika Strmica",604033,"Velika Strmica 16, 8231 Trebelno","","45.9029669","15.1973454"
20217928,"I. DVORANA STIK",604034,"Goliev trg 1, 8210 Trebnje","","45.9079123","15.0062484"
20217910,"II. DVORANA STIK",604035,"Goliev trg 1, 8210 Trebnje","","45.9079123","15.0062484"
20217901,"Salon Vovk Boštjan",604036,"Obrtniška ulica 4, 8210 Trebnje","","45.9074339","15.0222789"
20218134,"Gostilna Meglič",604037,"Obrtniška ulica 2, 8210 Trebnje","","45.90764","15.0218741"
20218207,"Gasilni dom Vrhtrebnje",604038,"Vrhtrebnje 24 8210 Trebnje","","45.8939026","14.9986325"
20218142,"Kulturni dom Velika Loka",604039,"Velika Loka 6, 8212 Velika Loka","","45.9311909","14.9701746"
20217944,"Bregar Janez",604040,"Stehanja vas 14, 8213 Veliki Gaber","","45.9150108","14.9219989"
20218169,"Dom gasilcev Zagorica",604041,"Zagorica pri Velikem Gabru 13, 8213 Veliki Gaber","","45.9220745","14.8897844"
