"id","name","address","description","lat","lon"
"601050","Gasilski dom Grabrovec","Grabrovec 3B, 8330 Metlika","","45.67552269999999","15.3055856"
"601051","Gasilski dom Gradac","Gradac 142, 8332 Gradac","","45.61121","15.268869"
"601052","Gasilski dom Sela pri Jugorju","Sela pri Jugorju 2, 8331 Suhor","","45.7103725","15.2347776"
"601053","Gasilski dom Dolnja Lokvica","Dolnja Lokvica 2a, 8330 Metlika","","45.6709055","15.2834967"
"601054","Mladinski center Metlika","Cesta bratstva in enotnosti 43, 8330 Metlika","","45.6520186","15.3161257"
"601055","GD Metlika","Črnomaljska cesta 3, 8330 Metlika","","45.6464907","15.315142"
"601056","STATUS d.o.o.","Ulica Belokranjskega odreda 19, 8330 Metlika","","45.641533","15.3190642"
"601058","Otroški vrtec Metlika","Župančičeva cesta 1, 8330 Metlika","","45.6463965","15.31859"
"601059","Obrtni dom OOZ Metlika ","Partizanski trg 5, 8330 Metlika","","45.6518266","15.3171896"
"601061","PGD Podzemelj","Podzemelj 16 B, 8332 Gradac","","45.6077558","15.2746449"
"601062","Gasilski dom Krasinec","Krasinec 3B, 8332 Gradac","","45.5889847","15.27769"
"601064","Osnovna šola Radovica","Radovica 23, 8330 Metlika","","45.6905068","15.3509276"
"601065","Gasilski dom Rosalnice","Rosalnice 45, 8330 Metlika","","45.6497426","15.3381591"
"601066","Dom gasilcev in krajanov Slamna vas","Slamna vas 8a, 8330 Metlika","","45.67507819999999","15.3350626"
"601067","Gasilski dom Dolnji Suhor pri Metliki","Dolnji Suhor pri Metliki 25, 8331 Suhor","","45.68829359999999","15.274803"
"601068","PGD Črmošnjice","Črmošnjice 24, 8333 Semič ","","45.6712451","15.102257"
"601069","Gasilski dom Cerovec pri Črešnjevcu","Cerovec pri Črešnjevcu 4, 8333 Semič","","45.6545464","15.2434213"
"601071","Gasilski dom Semič ","Spodnje Gorenjce 32, 8333 Semič","","45.6414437","15.1648317"
"601072","Pri Pečavar Martinu","Nestoplja vas1,  8333 Semič","","45.6520534","15.1820701"
"601073","Kulturni center Semič","Prosvetna ulica 4, 8333 Semič","","45.651011","15.1802102"
"601074","Pri Konda Robertu ","Osojnik 15, 8333 Semič","","45.6803836","15.2138328"
"601075","Gasilski dom Rožni Dol","Rožni Dol 5, 8333 Semič","","45.6807559","15.1493308"
"601076","Gasilski dom Stranska vas pri Semiču ","Praprot 15, 8333 Semič","","45.6356291","15.2121318"
"601077","Gasilski dom Štrekljevec ","Štrekljevec 1c, 8333 Semič","","45.6709507","15.2132631"
"601080","Bivša trgovina ""NINA""","Prečna ulica 4, 8340 Črnomelj","","45.5615966","15.1994218"
"602001","Osnovna šola Birčna vas","Birčna vas1, 8000 Novo mesto ","","45.7607811","15.15127"
"602002","Kulturno kongresni center Dol.Toplice","Sokolski trg 4, 8350 Dolenjske Toplice","","45.7559355","15.0599213"
"602003","Gasilski dom Dolž","Lipnica 5, 8000 Novo mesto","","45.7618027","15.2476149"
"602004","Hiša žive dediščine (dvorana)","Bela Cerkev 6, 8220 Šmarješke Toplice","","45.8669302","15.2752043"
"602005"," Kulturni dom Gabrje ","Gomile 10, 8321 Brusnice","","45.7783481","15.2678121"
"602006"," Vaški dom Dolenje Sušice","","","45.740739","15.075678"
"602007","Krajevna skupnost Hrušica (kletni prostori)","","","46.446458","14.012989"
"602008","Kulturni dom (dvorana)","Šmarjeta 66, 8220 Šmarješke Toplice","","45.88825509999999","15.2470295"
"602009","Gasilski dom Mali Podljuben","Mali Podljuben 20, 8000 Novo mesto","","45.7706212","15.1158666"
