DZ22PV_ID,OVK,OVK_DUP,OVK_ime,OB_MID,OB_ID,obmocje,name,sedez_naslov,sedez_posta,lat,lon
56,5009,1,Slovenj Gradec,,,Občini Mislinja in mestna občina Slovenj Gradec,Upravna enota Slovenj Gradec,Meškova ulica 21,2380 Slovenj Gradec,46.51049,15.08133
57,5010,1,Ravne na Koroškem,,,"Občine Črna na Koroškem, Mežica, Prevalje in Ravne na Koroškem",Občina Ravne na Koroškem,Gačnikova pot 5,2390 Ravne na Koroškem,46.54376,14.96258
58,5011,2,Radlje,"101, 141","101, 141",Občini Radlje ob Dravi in Vuzenica,Upravna enota Radlje ob Dravi,Mariborska cesta 7,2360 Radlje ob Dravi,46.61470,15.22463
59,5011,2,Radlje,,,"Občine Dravograd, Muta, Podvelka in Ribnica na Pohorju",Upravna enota Dravograd,Meža 10,2370 Dravograd,46.58657,15.02490
60,6001,2,Črnomelj,17,17,Občina Črnomelj,Upravna enota Črnomelj,Zadružna cesta 16,8340 Črnomelj,45.57968,15.19598
61,6001,2,Črnomelj,,,Občini Metlika in Semič,Upravna enota Metlika,Naselje Borisa Kidriča 14,8330 Metlika,45.64570,15.31706
62,6002,1,Novo mesto 1,,,"Občine Dolenjske Toplice, Mirna Peč, Šentjernej, Šmarješke Toplice, Žužemberk in del mestne občine Novo mesto (v skladu z ZDVEDZ)",Upravna enota Novo mesto,Defranceschijeva ulica 1,8000 Novo mesto,45.80394,15.16475
63,6003,1,Novo mesto 2,,,Občina Straža in del mestne občine Novo mesto (v skladu z ZDVEDZ),Upravna enota Novo mesto,Defranceschijeva ulica 1,8000 Novo mesto,45.80394,15.16475
64,6004,1,Trebnje,,,"Občine Mokronog - Trebelno, Šentrupert, Mirna in Trebnje",Občina Trebnje,Goliev trg 5,8210 Trebnje,45.90797,15.00779
65,6005,1,Brežice,,,Občina Brežice,Upravna enota Brežice,Cesta prvih borcev 24a,8250 Brežice,45.90437,15.59279
66,6006,1,Krško,,,Občini Kostanjevica na Krki in Krško,Občina Krško,Cesta krških žrtev 14,8270 Krško,45.96645,15.48502
67,6007,1,Sevnica,,,Občini Sevnica in Škocjan,Občina Sevnica,Glavni trg 19 a,8290 Sevnica,46.00569,15.31557
68,6008,2,Laško,99,99,Občina Radeče,Kulturni dom,Gledališka pot 2,1433 Radeče,46.06562,15.18232
69,6008,2,Laško,57,57,Občina Laško,Občina Laško (energetsko svetovalna pisarna),Mestna ulica 2,3270 Laško,46.15396,15.23537
